Date,Rater,Correct_Answer_3_Label,Correct_Answer_5_Label,Rater_Answer_3_Label,Rater_Answer_5_Label,Label_Agreement_3,Label_Agreement_5,TaskID
10/4/05,A,Low,Bad,Low,Bad,yes,yes,1,
10/18/05,B,Average,Exceptional,Low,Okay,no,no,2,
10/28/05,E,Average,Great,High,Exceptional,no,no,3,
10/12/05,C,High,Great,High,Great,yes,yes,4,
10/5/05,C,High,Exceptional,High,Exceptional,yes,yes,5,
10/30/05,C,High,Bad,Low,Great,no,no,6,
10/5/05,A,Average,Bad,Low,Exceptional,no,no,7,
10/15/05,E,Low,Intermediate,Low,Exceptional,yes,no,8,
10/5/05,E,Average,Okay,High,Bad,no,no,9,
10/11/05,D,Low,Okay,Low,Okay,yes,yes,10,
10/28/05,D,Average,Exceptional,Average,Bad,yes,no,11,
10/21/05,C,Average,Exceptional,Average,Bad,yes,no,12,
10/9/05,D,Low,Bad,Average,Exceptional,no,no,13,
10/21/05,A,Average,Intermediate,Average,Intermediate,yes,yes,14,
10/7/05,A,High,Great,Low,Okay,no,no,15,
10/13/05,D,Average,Okay,Low,Bad,no,no,16,
10/10/05,D,High,Bad,Low,Okay,no,no,17,
10/15/05,B,High,Exceptional,Average,Intermediate,no,no,18,
10/4/05,A,High,Okay,Average,Bad,no,no,19,
10/30/05,C,Average,Great,Low,Exceptional,no,no,20,
10/15/05,B,Average,Okay,High,Exceptional,no,no,21,
10/2/05,E,High,Bad,High,Exceptional,yes,no,22,
10/7/05,B,Low,Bad,Low,Exceptional,yes,no,23,
10/12/05,E,High,Exceptional,Average,Intermediate,no,no,24,
10/26/05,C,Average,Great,Low,Intermediate,no,no,25,
10/16/05,C,High,Intermediate,Low,Intermediate,no,yes,26,
10/2/05,E,Average,Bad,High,Intermediate,no,no,27,
10/13/05,D,Low,Great,Low,Intermediate,yes,no,28,
10/19/05,E,High,Bad,High,Exceptional,yes,no,29,
10/4/05,B,Average,Exceptional,Average,Exceptional,yes,yes,30,
10/25/05,D,High,Okay,Average,Okay,no,yes,31,
10/30/05,D,Average,Great,Low,Bad,no,no,32,
10/26/05,B,Average,Exceptional,High,Intermediate,no,no,33,
10/16/05,E,Low,Bad,Low,Okay,yes,no,34,
10/5/05,B,Average,Bad,High,Great,no,no,35,
10/8/05,B,Average,Intermediate,Low,Intermediate,no,yes,36,
10/1/05,C,High,Intermediate,Low,Intermediate,no,yes,37,
10/23/05,C,High,Intermediate,Average,Intermediate,no,yes,38,
10/15/05,E,Low,Great,Low,Great,yes,yes,39,
10/17/05,A,Low,Great,High,Intermediate,no,no,40,
10/11/05,E,High,Bad,Average,Exceptional,no,no,41,
10/10/05,D,Average,Exceptional,Low,Okay,no,no,42,
10/3/05,A,Average,Great,High,Bad,no,no,43,
10/2/05,D,High,Okay,Low,Bad,no,no,44,
10/27/05,E,Low,Great,Low,Bad,yes,no,45,
10/15/05,C,Average,Exceptional,Average,Intermediate,yes,no,46,
10/26/05,E,Average,Bad,High,Exceptional,no,no,47,
10/29/05,D,Low,Exceptional,Average,Intermediate,no,no,48,
10/12/05,D,Low,Okay,High,Okay,no,yes,49,
10/20/05,D,Low,Okay,Low,Bad,yes,no,50,
10/22/05,B,High,Bad,High,Bad,yes,yes,51,
10/22/05,E,High,Great,Low,Great,no,yes,52,
10/7/05,B,High,Bad,High,Great,yes,no,53,
10/28/05,E,High,Okay,High,Bad,yes,no,54,
10/23/05,D,Low,Bad,High,Intermediate,no,no,55,
10/10/05,D,Average,Okay,Low,Intermediate,no,no,56,
10/11/05,D,Low,Bad,Low,Exceptional,yes,no,57,
10/7/05,C,High,Exceptional,Low,Great,no,no,58,
10/2/05,E,High,Okay,Low,Bad,no,no,59,
10/7/05,A,High,Exceptional,High,Intermediate,yes,no,60,
